Akademii Sztuki w Szczecinie	Akademia Sztuki w Szczecinie	subst:sg:gen.dat.loc:f
Atelier Bizio + Ligierko	Atelier Bizio + Ligierko	subst:sg:_:n:ncol
Instytucie Architektury i Planowania Przestrzennego	Instytut Architektury i Planowania Przestrzennego	subst:sg:loc.voc:m3
Katedrze Architektury Współczesnej Teorii i Metodologii Projektowania	Katedra Architektury Współczesnej Teorii i Metodologii Projektowania	subst:sg:dat.loc:f
VII Liceum Ogólnokształcącego im . K . K . Baczyńskiego	VII Liceum Ogólnokształcące im. K.K. Baczyńskiego	subst:sg:gen:n:ncol
IV Liceum Ogólnokształcącego im . L . Szenwalda	IV Liceum Ogólnokształcące im. L. Szenwalda	subst:sg:gen:n:ncol
Muzeum Narodowym	Muzeum Narodowe	subst:sg:inst.loc:n:ncol
Nagrodę Artystyczną m . Szczecina	Nagroda Artystyczna m. Szczecina	subst:sg:acc:f
Zachodniopomorskiego Nobla	Zachodniopomorski Nobel	subst:sg:acc.gen:m3
Politechnice Krakowskiej	Politechnika Krakowska	subst:sg:dat.loc:f
Politechnice Szczecińskiej	Politechnika Szczecińska	subst:sg:dat.loc:f
Politechniki Szczecińskiej	Politechnika Szczecińska	subst:sg:gen:f
Pracowni Podstaw Projektowania	Pracownia Podstaw Projektowania	subst:sg:gen.dat.loc:f
Przeglądu Teatrów Małych Form „ Kontrapunkt ”	Przegląd Teatrów Małych Form „Kontrapunkt”	subst:sg:gen:m3
Mistrzowską Szkołę Reżyserii Filmowej Andrzeja Wajdy	Mistrzowska Szkoła Reżyserii Filmowej Andrzeja Wajdy	subst:sg:acc:f
Uniwersytecie im . M . Kopernika	Uniwersytet im. M. Kopernika	subst:sg:loc.voc:m3
Zachodniopomorski Uniwersytet Technologiczny	Zachodniopomorski Uniwersytet Technologiczny	subst:sg:acc.nom:m3
Wydziale Budownictwa i Architektury	Wydział Budownictwa i Architektury	subst:sg:loc.voc:m3
Wydziale Stuk Wizualnych	Wydział Stuk Wizualnych	subst:sg:loc.voc:m3
Zakładzie Teorii Architektury , Historii i Konserwacji Zabytków	Zakład Teorii Architektury, Historii i Konserwacji Zabytków	subst:sg:loc.voc:m3
Festiwalu Polskich Sztuk Współczesnych R @ Port	Festiwal Polskich Sztuk Współczesnych R@Port	subst:sg:gen.loc.voc:m3
Cyrk Shuty	Cyrk Shuty	subst:sg:nom:m3
Cyrk z Huty	Cyrk z Huty	subst:sg:nom:m3
Liceum Ogólnokształcącym w Nowej Hucie	Liceum Ogólnokształcące w Nowej Hucie	subst:sg:loc:n1
Akademii Ekonomicznej w Krakowie	Akademia Ekonomiczna w Krakowie	subst:sg:loc:f
Banku Zachodnim WBK	Bank Zachodni WBK	subst:sg:loc:m3
Krakowski Klub Artystyczny T.A.M. (Twórcza Akcja Młodych)	Krakowski Klub Artystyczny T.A.M. (Twórcza Akcja Młodych)	subst:sg:acc:m3
Lampa i Iskra Boża	Lampa i Iskra Boża	subst:sg:nom:f
Mać Pariadka	Mać Pariadka	subst:sg:nom:f
Cyrku Shuty	Cyrk Shuty	subst:sg:gen:m3
Bunkrze Sztuki Korporacji Ha!art	Bunkier Sztuki Korporacji Ha!art	subst:sg:loc:m3
Grupę Artystyczną Duet	Grupa Artystyczna Duet	subst:sg:acc:f
Cyrki z Huty	Cyrk Shuty	subst:pl:acc:m3
Interia (www.interia.pl)	Interia (www.interia.pl)	subst:sg:nom:f
Opowieści środka kraju	Opowieści środka kraju	subst:pl:gen:f
Studium Literacko-Artystycznym	Studium Literacko-Artystyczne	subst:sg:loc:n1
UJ w Krakowie	UJ w Krakowie	subst:sg:loc:m3
IV Liceum Ogólnokształcącym im. E. Szczanieckiej	IV Liceum Ogólnokształcące im. E. Szczanieckiej	subst:sg:loc:n1
Komitetem Obrony Robotników (KOR)	Komitet Obrony Robotników (KOR)	subst:sg:inst:m3
Niezależną Oficyną Wydawniczą	Niezależna Oficyna Wydawnicza	subst:sg:inst:f
Uniwersytetu Latającego	Uniwersytet Latający	subst:sg:gen:m3
